incentive,private,grade,table,table_size,table_incentive_pr,grape,grape2,cluster,strata,sex,race,lunch,dg,sw,sc,male,group,sex_mf,grade_mod,black,hispanic,free,public,above_grade_median,nosurvey,dbestfriend,dbestfriend_i,dpopular,dpopular_i,tpr_own,Switched,Stayed
0,0,2,135,6,0.5,0,0,132,11,2,2,2,0,0,0,0,5,0,2,1,0,1,1,0,0,1,1,1,0,0.3333333432674408,Not Changed,Stayed Cookie
0,0,3,119,6,0,0,0,112,9,3,2,2,0,0,0,1,2,1,3,1,0,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Cookie
0,0,6,6,6,0,1,1,22,3,3,2,2,0,0,0,1,2,1,6,1,0,1,1,1,0,0,0,1,0,0,Not Changed,Stayed Grape
0,0,4,196,6,0,1,1,197,17,2,3,2,0,0,0,0,2,0,4,0,1,1,1,0,0,1,0,0,0,0,Not Changed,Stayed Grape
0,0,6,6,6,0,1,1,22,3,3,3,2,0,0,0,1,2,1,6,0,1,1,1,1,1,0,0,0,0,0,Not Changed,Stayed Grape
0,0,3,243,6,0.3333333432674408,1,1,245,23,3,2,2,0,0,0,1,5,1,3,1,0,1,1,0,0,1,0,0,0,0,Not Changed,Stayed Grape
1,0,1,195,6,0.6666666865348816,0,1,188,16,3,3,2,1,1,0,1,6,1,1,0,1,1,1,0,0,1,1,1,1,0.5,Cookie to Grape,Changed
1,0,0,141,6,1,1,1,134,11,3,3,2,0,0,0,1,8,1,0,0,1,1,1,0,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
1,0,0,136,6,0.6666666865348816,1,1,133,11,3,2,2,0,0,0,1,6,1,0,1,0,1,1,0,1,0,0,0,0,0.5,Not Changed,Stayed Grape
0,0,1,257,6,0.3333333432674408,0,0,248,23,2,3,2,0,0,0,0,5,0,1,0,1,1,1,0,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Cookie
1,0,6,95,6,1,1,0,117,10,3,2,2,-1,0,1,1,8,1,6,1,0,1,1,1,0,1,1,1,1,1,Grape to Cookie,Changed
0,0,2,186,6,0,0,0,185,16,3,3,4,0,0,0,1,2,1,2,0,1,0,1,0,0,0,0,1,0,0,Not Changed,Stayed Cookie
0,0,1,44,6,0.1666666716337204,1,1,41,4,2,3,2,0,0,0,0,5,0,1,0,1,1,1,0,0,0,0,0,0,0,Not Changed,Stayed Grape
0,0,1,76,6,0.3333333432674408,0,1,69,6,2,3,2,1,1,0,0,5,0,1,0,1,1,1,0,0,1,0,0,0,0,Cookie to Grape,Changed
1,0,6,50,6,0.5,1,1,54,5,3,3,2,0,0,0,1,6,1,6,0,1,1,1,1,0,1,1,1,0,0.5,Not Changed,Stayed Grape
0,0,3,33,6,0,1,1,19,2,3,3,2,0,0,0,1,2,1,3,0,1,1,1,0,0,1,0,1,0,0,Not Changed,Stayed Grape
1,0,0,270,7,0.5714285969734192,1,1,243,22,2,3,2,0,0,0,0,6,0,0,0,1,1,1,0,1,0,0,0,0,0.2857142984867096,Not Changed,Stayed Grape
0,0,4,161,7,0.4285714328289032,0,0,161,14,2,2,2,0,0,0,0,5,0,4,1,0,1,1,0,0,1,1,1,0,0,Not Changed,Stayed Cookie
1,0,0,270,7,0.5714285969734192,0,1,243,22,3,2,2,1,1,0,1,6,1,0,1,0,1,1,0,1,0,0,0,0,0.2857142984867096,Cookie to Grape,Changed
1,0,8,26,7,1,0,0,32,3,2,3,2,0,0,0,0,8,0,8,0,1,1,1,1,1,0,0,0,0,0.5714285969734192,Not Changed,Stayed Cookie
1,0,4,231,7,0.5714285969734192,1,1,230,20,2,2,2,0,0,0,0,6,0,4,1,0,1,1,0,0,0,0,0,0,0.5714285969734192,Not Changed,Stayed Grape
1,0,2,91,7,0.4285714328289032,1,1,91,8,3,3,3,0,0,0,1,6,1,2,0,1,0,1,0,0,1,1,0,0,0.2857142984867096,Not Changed,Stayed Grape
